task,teleop,teleop_lo,teleop_hi,CaP,Ours,Ours_lo,Ours_hi
T1,0.26946507027483935,0.2588251469330393,0.27964677559979106,0.071333500464065,0.2576346552182996,0.2521651562938537,0.27265363577383434
T2,0.2362822411810118,0.23244882797201738,0.24792956366038812,0.0831993607246092,0.21263194968038168,0.21194056553218388,0.23155796851828192
T3,0.32856265476132934,0.31974673856123564,0.3451259243402607,0.07947308022288557,0.22829126315116952,0.2191086844566068,0.254707046397034
T4,0.24619001928123901,0.2388456434352181,0.2556696046675057,0.10011619388172095,0.23964215637925215,0.23080442050559372,0.2585317532671613
T5,0.24030232192732298,0.2449324911211381,0.29542734602596804,0.06729506261365402,0.17541683314846798,0.17275648278560657,0.20620662954542102
T6,0.2909580741035017,0.28754018457024016,0.3090020463018675,0.031165523400625648,0.17299747307300423,0.17991909083500945,0.2094482080625711
T7,0.28403375747091875,0.27751233459800767,0.30804144897353397,0.06511266577349963,0.18279845906565684,0.18104026330133968,0.20205989880457947
T8,,,,,,,
T9,0.19016124478562674,0.18242596173682196,0.2205542574399763,0.059289535372736846,0.11284789954983203,0.10807161904568391,0.13524150095193155
T10,0.13438648382930385,0.13612902700490243,0.1491526413087639,0.042023435569604264,0.1845236219422875,0.17435932353816808,0.20144379445065697
